,Athlete,Gender,Event,Medal,DOB,height,weight_lbs,weight_kg,DOB1,Age,Year
446,"NORTHWAY, Douglas Dale",Men,1500m freestyle,Bronze,,180.34,58-73,#VALUE!,,,1972
447,"BURTON, Michael Jay",Men,1500m freestyle,Gold,,175.26,154,70,,,1972
448,"WINDEATT, Graham Claud",Men,1500m freestyle,Silver,"August 5, 1954 (age 62 years)",187.96,172,78.18181818,"August 5, 1954 ",18.0849315068,1972
449,"IVEY, Mitchell",Men,200m backstroke,Bronze,"September 28, 1979 (age 37 years)",,159,72.27272727,"September 28, 1979 ",,1972
450,"MATTHES, Roland",Men,200m backstroke,Gold,"November 17, 1950 (age 65 years)",,163,74.09090909,"November 17, 1950 ",21.802739726,1972
451,"STAMM, Michael Eugene",Men,200m backstroke,Silver,,190.5,179,81.36363636,,,1972
452,"GURR, Donna Marie",Women,200m backstroke,Bronze,"February 18, 1955 (age 61 years)",167.64,110,50,"February 18, 1955 ",17.5452054795,1972
453,"BELOTE, Melissa Louise",Women,200m backstroke,Gold,"October 16, 1956 (age 60 years)",170.18,132,60,"October 16, 1956 ",15.8849315068,1972
454,"ATWOOD, Susanne Jean",Women,200m backstroke,Silver,"June 5, 1953 (age 63 years)",170.18,146,66.36363636,"June 5, 1953 ",19.2520547945,1972
455,"TAGUCHI, Nobutaka",Men,200m breaststroke,Bronze,"June 18, 1951 (age 65 years)",172.72,150,68.18181818,"June 18, 1951 ",21.2191780822,1972
456,"HENCKEN, John Frederick",Men,200m breaststroke,Gold,"May 29, 1954 (age 62 years)",182.88,170,77.27272727,"May 29, 1954 ",18.2712328767,1972
457,"WILKIE, David Andrew",Men,200m breaststroke,Silver,"March 8, 1954 (age 62 years)",182.88,168,76.36363636,"March 8, 1954 ",18.495890411,1972
458,"PROZUMENSCHIKOVA-STEPANOVA, Galina",Women,200m breaststroke,Bronze,26-Nov-48,170.18,,#VALUE!,26-Nov-48,,1972
459,"WHITFIELD, Beverley Joy",Women,200m breaststroke,Gold,15-Jun-54,162.56,126,57.27272727,15-Jun-54,,1972
460,"SCHOENFIELD, Dana Lee",Women,200m breaststroke,Silver,,172.72,146,66.36363636,,,1972
461,"BACKHAUS, Robin James",Men,200m butterfly,Bronze,"February 12, 1955 (age 61 years)",182.88,170,77.27272727,"February 12, 1955 ",17.5616438356,1972
462,"SPITZ, Mark",Men,200m butterfly,Gold,"February 10, 1950 (age 66 years)",182.88,161,73.18181818,"February 10, 1950 ",22.5698630137,1972
463,"HALL, Gary Wayne",Men,200m butterfly,Silver,,198.12,163,74.09090909,,,1972
464,"DANIEL, Eleanor Suzanne",Women,200m butterfly,Bronze,"June 11, 1950 (age 66 years)",172.72,143,65,"June 11, 1950 ",22.2383561644,1972
465,"MOE-THORNTON, Karen Patricia",Women,200m butterfly,Gold,,,123,55.90909091,,,1972
466,"COLELLA, Lynn Ann",Women,200m butterfly,Silver,"June 13, 1950 (age 66 years)",170.18,134,60.90909091,"June 13, 1950 ",22.2328767123,1972
467,"LAMPE, Werner",Men,200m freestyle,Bronze,1950,195.58,176,80,1950,22.6794520548,1972
468,"SPITZ, Mark",Men,200m freestyle,Gold,"February 10, 1950 (age 66 years)",182.88,161,73.18181818,"February 10, 1950 ",22.5698630137,1972
469,"GENTER, Robert Steven",Men,200m freestyle,Silver,"January 4, 1951 (age 65 years)",195.58,185,84.09090909,"January 4, 1951 ",21.6712328767,1972
470,"ROTHHAMMER, Keena Ruth",Women,200m freestyle,Bronze,"February 26, 1957 (age 59 years)",175.26,146,66.36363636,"February 26, 1957 ",15.5205479452,1972
471,"GOULD, Shane",Women,200m freestyle,Gold,"November 23, 1956 (age 59 years)",170.18,130,59.09090909,"November 23, 1956 ",15.7808219178,1972
472,"BABASHOFF, Shirley Farber",Women,200m freestyle,Silver,,,,#VALUE!,,,1972
473,"FURNISS, Steven Charles",Men,200m individual medley,Bronze,,193.04,176,80,,,1972
474,"LARSSON, Gunnar",Men,200m individual medley,Gold,"May 12, 1951 (age 65 years)",185.42,190,86.36363636,"May 12, 1951 ",21.3205479452,1972
475,"MCKEE, Alexander Timothy",Men,200m individual medley,Silver,,172.72,154,70,,,1972
476,"VIDALI, Lynn Marie",Women,200m individual medley,Bronze,"May 26, 1952 (age 64 years)",170.18,141,64.09090909,"May 26, 1952 ",20.2794520548,1972
477,"GOULD, Shane",Women,200m individual medley,Gold,"November 23, 1956 (age 59 years)",170.18,130,59.09090909,"November 23, 1956 ",15.7808219178,1972
478,"ENDER, Kornelia",Women,200m individual medley,Silver,"October 25, 1958 (age 58 years)",172.72,130,59.09090909,"October 25, 1958 ",,1972
479,"MCBREEN, Thomas Sean",Men,400m freestyle,Bronze,,182.88,154,70,,,1972
480,"COOPER, Bradford Paul",Men,400m freestyle,Gold,,160.02,159,72.27272727,,,1972
481,"GENTER, Robert Steven",Men,400m freestyle,Silver,,195.58,185,84.09090909,,,1972
482,"WEGNER, Gudrun",Women,400m freestyle,Bronze,,175.26,143,65,,,1972
483,"GOULD, Shane",Women,400m freestyle,Gold,,170.18,130,59.09090909,,,1972
484,"CALLIGARIS, Novella",Women,400m freestyle,Silver,,162.56,106,48.18181818,,,1972
485,"HARGITAY, Andras",Men,400m individual medley,Bronze,"March 17, 1956 (age 60 years)",187.96,,#VALUE!,"March 17, 1956 ",16.4684931507,1972
486,"LARSSON, Gunnar",Men,400m individual medley,Gold,"May 12, 1951 (age 65 years)",185.42,190,86.36363636,"May 12, 1951 ",21.3205479452,1972
487,"MCKEE, Alexander Timothy",Men,400m individual medley,Silver,,172.72,154,70,,,1972
488,"CALLIGARIS, Novella",Women,400m individual medley,Bronze,"December 27, 1954 (age 61 years)",162.56,106,48.18181818,"December 27, 1954 ",17.6904109589,1972
489,"NEALL, Gail",Women,400m individual medley,Gold,"August 2, 1955 (age 61 years)",162.56,115,52.27272727,"August 2, 1955 ",17.0931506849,1972
490,"CLIFF, Leslie",Women,400m individual medley,Silver,"March 11, 1955 (age 61 years)",172.72,132,60,"March 11, 1955 ",17.4876712329,1972
491,"CALLIGARIS, Novella",Women,800m freestyle,Bronze,"December 27, 1954 (age 61 years)",162.56,106,48.18181818,"December 27, 1954 ",17.6904109589,1972
492,"ROTHHAMMER, Keena Ruth",Women,800m freestyle,Gold,"February 26, 1957 (age 59 years)",175.26,146,66.36363636,"February 26, 1957 ",15.5205479452,1972
493,"GOULD, Shane",Women,800m freestyle,Silver,"November 23, 1956 (age 59 years)",170.18,130,59.09090909,"November 23, 1956 ",15.7808219178,1972
494,"MATTHES, Roland",Men,100m backstroke,Bronze,"November 17, 1950 (age 65 years)",,163,74.09090909,"November 17, 1950 ",25.8054794521,1976
495,"NABER, John Phillips",Men,100m backstroke,Gold,,198.12,194,88.18181818,,,1976
496,"ROCCA, Peter Drake",Men,100m backstroke,Silver,,190.5,176,80,,,1976
497,"GARAPICK, Nancy Ellen",Women,100m backstroke,Bronze,"September 24, 1961 (age 55 years)",167.64,119,54.09090909,"September 24, 1961 ",14.9452054795,1976
498,"RICHTER, Ulrike",Women,100m backstroke,Gold,"June 17, 1959 (age 57 years)",172.72,146,66.36363636,"June 17, 1959 ",17.2191780822,1976
499,"TREIBER, Birgit",Women,100m backstroke,Silver,"February 26, 1960 (age 56 years)",172.72,146,66.36363636,"February 26, 1960 ",16.5232876712,1976
500,"YOZAITIS, Arvidas",Men,100m breaststroke,Bronze,"April 18, 1956 (age 60 years)",,,#VALUE!,"April 18, 1956 ",20.3835616438,1976
501,"HENCKEN, John Frederick",Men,100m breaststroke,Gold,"May 29, 1954 (age 62 years)",182.88,170,77.27272727,"May 29, 1954 ",22.2739726027,1976
502,"WILKIE, David Andrew",Men,100m breaststroke,Silver,"March 8, 1954 (age 62 years)",182.88,168,76.36363636,"March 8, 1954 ",22.498630137,1976
503,"KOSHEVAYA, Marina",Women,100m breaststroke,Bronze,"April 1, 1960 (age 56 years)",,128,58.18181818,"April 1, 1960 ",16.4273972603,1976
504,"ANKE, Hannelore",Women,100m breaststroke,Gold,"December 8, 1957 (age 58 years)",160.02,115,52.27272727,"December 8, 1957 ",18.7424657534,1976
505,"RUSANOVA, Lyubov",Women,100m breaststroke,Silver,"February 2, 1954 (age 62 years)",165.1,143,65,"February 2, 1954 ",22.5917808219,1976
506,"HALL, Gary Wayne",Men,100m butterfly,Bronze,,198.12,163,74.09090909,,,1976
507,"VOGEL, Matthew Haynes",Men,100m butterfly,Gold,,,187,85,,,1976
508,"BOTTOM, Joseph Stuart",Men,100m butterfly,Silver,"April 18, 1955 (age 61 years)",195.58,192,87.27272727,"April 18, 1955 ",21.3863013699,1976
509,"BOGLIOLI, Wendy Lansbach",Women,100m butterfly,Bronze,,,141,64.09090909,,,1976
510,"ENDER, Kornelia",Women,100m butterfly,Gold,"October 25, 1958 (age 58 years)",172.72,130,59.09090909,"October 25, 1958 ",17.8630136986,1976
511,"POLLACK, Andrea",Women,100m butterfly,Silver,"May 8, 1961 (age 55 years)",165.1,134,60.90909091,"May 8, 1961 ",15.3260273973,1976
512,"NOCKE, Peter",Men,100m freestyle,Bronze,"October 25, 1955 (age 61 years)",182.88,,#VALUE!,"October 25, 1955 ",20.8657534247,1976
513,"MONTGOMERY, James Paul",Men,100m freestyle,Gold,,,194,88.18181818,,,1976
514,"BABASHOFF, Jack, Jr.",Men,100m freestyle,Silver,,,Silver,#VALUE!,,,1976
515,"BRIGITHA, Enith",Women,100m freestyle,Bronze,,,148,67.27272727,,,1976
516,"ENDER, Kornelia",Women,100m freestyle,Gold,,172.72,130,59.09090909,,,1976
517,"PRIEMER, Petra",Women,100m freestyle,Silver,,,150,68.18181818,,,1976
518,"HOLLAND, Stephen",Men,1500m freestyle,Bronze,1941,,,#VALUE!,1941,,1976
519,"GOODELL, Brian Stuart",Men,1500m freestyle,Gold,"April 2, 1959 (age 57 years)",172.72,148,67.27272727,"April 2, 1959 ",17.4273972603,1976
520,"HACKETT, Robert William",Men,1500m freestyle,Silver,"August 15, 1959 (age 57 years)",187.96,183,83.18181818,"August 15, 1959 ",17.0575342466,1976
521,"HARRIGAN, Daniel Lee",Men,200m backstroke,Bronze,,182.88,170,77.27272727,,,1976
522,"NABER, John Phillips",Men,200m backstroke,Gold,,198.12,194,88.18181818,,,1976
523,"ROCCA, Peter Drake",Men,200m backstroke,Silver,,190.5,176,80,,,1976
524,"GARAPICK, Nancy Ellen",Women,200m backstroke,Bronze,"September 24, 1961 (age 55 years)",167.64,119,54.09090909,"September 24, 1961 ",14.9452054795,1976
525,"RICHTER, Ulrike",Women,200m backstroke,Gold,"June 17, 1959 (age 57 years)",172.72,146,66.36363636,"June 17, 1959 ",17.2191780822,1976
526,"TREIBER, Birgit",Women,200m backstroke,Silver,"February 26, 1960 (age 56 years)",172.72,146,66.36363636,"February 26, 1960 ",16.5232876712,1976
527,"COLELLA, Richard Phillip Jr.",Men,200m breaststroke,Bronze,"December 14, 1951 (age 64 years)",185.42,181,82.27272727,"December 14, 1951 ",24.7315068493,1976
528,"WILKIE, David Andrew",Men,200m breaststroke,Gold,"March 8, 1954 (age 62 years)",182.88,168,76.36363636,"March 8, 1954 ",22.498630137,1976
529,"HENCKEN, John Frederick",Men,200m breaststroke,Silver,"May 29, 1954 (age 62 years)",182.88,170,77.27272727,"May 29, 1954 ",22.2739726027,1976
530,"RUSANOVA, Lyubov",Women,200m breaststroke,Bronze,"February 2, 1954 (age 62 years)",165.1,143,65,"February 2, 1954 ",22.5917808219,1976
531,"KOSHEVAYA, Marina",Women,200m breaststroke,Gold,"April 1, 1960 (age 56 years)",,128,58.18181818,"April 1, 1960 ",16.4273972603,1976
532,"YURCHENYA, Marina",Women,200m breaststroke,Silver,,,,#VALUE!,,,1976
533,"FORRESTER, William Ronald, Jr.",Men,200m butterfly,Bronze,"December 18, 1957 (age 58 years)",180.34,Bronze,#VALUE!,"December 18, 1957 ",18.7150684932,1976
534,"BRUNER, Michael Lee",Men,200m butterfly,Gold,,177.8,161,73.18181818,,,1976
535,"GREGG, Steven Garrett",Men,200m butterfly,Silver,,193.04,185,84.09090909,,,1976
536,"KOTHER-GABRIEL, Rosemarie",Women,200m butterfly,Bronze,,,110,50,,,1976
537,"POLLACK, Andrea",Women,200m butterfly,Gold,"May 8, 1961 (age 55 years)",165.1,134,60.90909091,"May 8, 1961 ",15.3260273973,1976
538,"TAUBER, Ulrike",Women,200m butterfly,Silver,"June 16, 1958 (age 58 years)",172.72,134,60.90909091,"June 16, 1958 ",18.2219178082,1976
539,"MONTGOMERY, James Paul",Men,200m freestyle,Bronze,"January 24, 1955 (age 61 years)",190.5,194,88.18181818,"January 24, 1955 ",21.6164383562,1976
540,"FURNISS, Bruce Macfarlane",Men,200m freestyle,Gold,"May 27, 1957 (age 59 years)",182.88,161,73.18181818,"May 27, 1957 ",19.2767123288,1976
541,"NABER, John Phillips",Men,200m freestyle,Silver,,198.12,194,88.18181818,,,1976
542,"BRIGITHA, Enith",Women,200m freestyle,Bronze,"April 15, 1955 (age 61 years)",175.26,148,67.27272727,"April 15, 1955 ",21.3945205479,1976
543,"ENDER, Kornelia",Women,200m freestyle,Gold,,172.72,130,59.09090909,,,1976
544,"BABASHOFF, Shirley Farber",Women,200m freestyle,Silver,,,,#VALUE!,,,1976
545,"RASKATOV, Vladimir",Men,400m freestyle,Bronze,,,,#VALUE!,,,1976
546,"GOODELL, Brian Stuart",Men,400m freestyle,Gold,"April 2, 1959 (age 57 years)",172.72,148,67.27272727,"April 2, 1959 ",17.4273972603,1976
547,"SHAW, Timothy Andrew",Men,400m freestyle,Silver,"November 8, 1957 (age 58 years)",187.96,196,89.09090909,"November 8, 1957 ",18.8246575342,1976
548,"SMITH, Shannon",Women,400m freestyle,Bronze,"September 28, 1961 (age 55 years)",175.26,139,63.18181818,"September 28, 1961 ",14.9342465753,1976
549,"TH MER, Petra",Women,400m freestyle,Gold,,,,#VALUE!,,,1976
550,"BABASHOFF, Shirley Farber",Women,400m freestyle,Silver,,,,#VALUE!,,,1976
551,"SMIRNOV, Andrei",Men,400m individual medley,Bronze,"March 12, 1941 (age 75 years)",,,#VALUE!,"March 12, 1941 ",,1976
552,"STRACHAN, Rodney",Men,400m individual medley,Gold,,182.88,170,77.27272727,,,1976
553,"MCKEE, Alexander Timothy",Men,400m individual medley,Silver,,172.72,154,70,,,1976
554,"SMITH, Rebecca",Women,400m individual medley,Bronze,,,123,55.90909091,,,1976
555,"TAUBER, Ulrike",Women,400m individual medley,Gold,"June 16, 1958 (age 58 years)",172.72,134,60.90909091,"June 16, 1958 ",18.2219178082,1976
556,"GIBSON, Cheryl",Women,400m individual medley,Silver,"July 28, 1959 (age 57 years)",172.72,130,59.09090909,"July 28, 1959 ",17.1068493151,1976
557,"WEINBERG, Wendy Elizabeth",Women,800m freestyle,Bronze,,,,#VALUE!,,,1976
558,"TH MER, Petra",Women,800m freestyle,Gold,,,,#VALUE!,,,1976
559,"BABASHOFF, Shirley Farber",Women,800m freestyle,Silver,,,,#VALUE!,,,1976
560,"DOLGOV, Vladimir",Men,100m backstroke,Bronze,"May 11, 1960 (age 56 years)",,,#VALUE!,"May 11, 1960 ",20.3205479452,1980
561,"BARON, Bengt",Men,100m backstroke,Gold,"March 6, 1962 (age 54 years)",,183,83.18181818,"March 6, 1962 ",18.501369863,1980
562,"KUZNETSOV, Viktor",Men,100m backstroke,Silver,"February 25, 1949 (age 67 years)",,220,100,"February 25, 1949 ",,1980
563,"RIEDEL, Petra",Women,100m backstroke,Bronze,,170.18,139,63.18181818,,,1980
564,"REINISCH, Rica",Women,100m backstroke,Gold,"April 6, 1965 (age 51 years)",177.8,146,66.36363636,"April 6, 1965 ",15.4136986301,1980
565,"KLEBER, Ina",Women,100m backstroke,Silver,,180.34,141,64.09090909,,,1980
566,"EVANS, Peter",Men,100m breaststroke,Bronze,"January 20, 1987 (age 29 years)",180.34,170,77.27272727,"January 20, 1987 ",,1980
567,"GOODHEW, Dunkan",Men,100m breaststroke,Gold,"May 27, 1957 (age 59 years)",182.88,,#VALUE!,"May 27, 1957 ",23.2794520548,1980
568,"MISKAROV, Arsen",Men,100m breaststroke,Silver,"March 3, 1961 (age 55 years)",182.88,165,75,"March 3, 1961 ",19.5095890411,1980
569,"NIELSSON, Susanne Schultz",Women,100m breaststroke,Bronze,"July 8, 1960 (age 56 years)",,132,60,"July 8, 1960 ",20.1616438356,1980
570,"GEWENIGER, Ute",Women,100m breaststroke,Gold,"February 24, 1964 (age 52 years)",177.8,137,62.27272727,"February 24, 1964 ",16.5287671233,1980
571,"VASILKOVA, Elvira",Women,100m breaststroke,Silver,"May 15, 1962 (age 54 years)",172.72,137,62.27272727,"May 15, 1962 ",18.3095890411,1980
572,"LOPEZ-ZUBERO PURCELL, David",Men,100m butterfly,Bronze,"February 11, 1959 (age 57 years)",177.8,,#VALUE!,"February 11, 1959 ",21.5671232877,1980
573,"ARVIDSSON, P_r",Men,100m butterfly,Gold,,,,#VALUE!,,,1980
574,"PYTTEL, Roger",Men,100m butterfly,Silver,"May 8, 1957 (age 59 years)",175.26,150,68.18181818,"May 8, 1957 ",23.3315068493,1980
575,"KNACKE, Christiane",Women,100m butterfly,Bronze,"April 17, 1962 (age 54 years)",165.1,132,60,"April 17, 1962 ",18.3863013699,1980
576,"METSCHUCK, Caren",Women,100m butterfly,Gold,"September 27, 1963 (age 53 years)",182.88,168,76.36363636,"September 27, 1963 ",16.9397260274,1980
577,"POLLACK, Andrea",Women,100m butterfly,Silver,"May 8, 1961 (age 55 years)",165.1,134,60.90909091,"May 8, 1961 ",19.3287671233,1980
578,"JOHANSSON, Per",Men,100m freestyle,Bronze,"May 6, 1978 (age 38 years)",193.04,165,75,"May 6, 1978 ",,1980
579,"WOITHE, J_rg",Men,100m freestyle,Gold,,,,#VALUE!,,,1980
580,"HOLMERTZ, Per",Men,100m freestyle,Silver,"February 3, 1960 (age 56 years)",185.42,165,75,"February 3, 1960 ",20.5890410959,1980
581,"DIERS, Ines",Women,100m freestyle,Bronze,"November 2, 1963 (age 53 years)",175.26,141,64.09090909,"November 2, 1963 ",16.8410958904,1980
582,"KRAUSE, Barbara",Women,100m freestyle,Gold,"July 7, 1959 (age 57 years)",180.34,150,68.18181818,"July 7, 1959 ",21.1671232877,1980
583,"METSCHUCK, Caren",Women,100m freestyle,Silver,"September 27, 1963 (age 53 years)",182.88,168,76.36363636,"September 27, 1963 ",16.9397260274,1980
584,"METZKER, Maxwell",Men,1500m freestyle,Bronze,,177.8,154,70,,,1980
585,"SALNIKOV, Vladimir",Men,1500m freestyle,Gold,"May 21, 1960 (age 56 years)",180.34,163,74.09090909,"May 21, 1960 ",20.2931506849,1980
586,"CHAEV, Aleksandr",Men,1500m freestyle,Silver,,,,#VALUE!,,,1980
587,"KERRY, Mark",Men,200m backstroke,Bronze,,187.96,179,81.36363636,,,1980
588,"WLADAR, Sandor",Men,200m backstroke,Gold,"July 19, 1963 (age 53 years)",182.88,,#VALUE!,"July 19, 1963 ",17.1315068493,1980
589,"VERRASZTO, Zoltan",Men,200m backstroke,Silver,"March 15, 1956 (age 60 years)",175.26,,#VALUE!,"March 15, 1956 ",24.4794520548,1980
590,"TREIBER, Birgit",Women,200m backstroke,Bronze,"February 26, 1960 (age 56 years)",172.72,146,66.36363636,"February 26, 1960 ",20.5260273973,1980
591,"REINISCH, Rica",Women,200m backstroke,Gold,"April 6, 1965 (age 51 years)",177.8,146,66.36363636,"April 6, 1965 ",15.4136986301,1980
592,"POLIT, Cornelia",Women,200m backstroke,Silver,"February 18, 1963 (age 53 years)",175.26,139,63.18181818,"February 18, 1963 ",17.5452054795,1980
593,"MISKAROV, Arsen",Men,200m breaststroke,Bronze,,182.88,165,75,,,1980
594,"ZHULPA, Robertas",Men,200m breaststroke,Gold,,,,#VALUE!,,,1980
595,"VERMES, Alban",Men,200m breaststroke,Silver,1957,,,#VALUE!,1957,23.6794520548,1980
596,"BOGDANOVA, Yulia",Women,200m breaststroke,Bronze,"April 27, 1964 (age 52 years)",170.18,,#VALUE!,"April 27, 1964 ",16.3561643836,1980
597,"KACHUSHITE, Lina",Women,200m breaststroke,Gold,"January 1, 1963 (age 53 years)",,,#VALUE!,"January 1, 1963 ",17.6767123288,1980
598,"VARGANOVA, Svetlana",Women,200m breaststroke,Silver,"November 19, 1964 (age 51 years)",170.18,128,58.18181818,"November 19, 1964 ",15.7917808219,1980
599,"PYTTEL, Roger",Men,200m butterfly,Bronze,"May 8, 1957 (age 59 years)",175.26,150,68.18181818,"May 8, 1957 ",23.3315068493,1980
600,"FESENKO, Sergei",Men,200m butterfly,Gold,"January 29, 1959 (age 57 years)",187.96,,#VALUE!,"January 29, 1959 ",21.602739726,1980
601,"HUBBLE, Philip",Men,200m butterfly,Silver,"July 19, 1960 (age 56 years)",185.42,174,79.09090909,"July 19, 1960 ",20.1315068493,1980
602,"FORD, Michelle",Women,200m butterfly,Bronze,"October 1, 1968 (age 48 years)",,119,54.09090909,"October 1, 1968 ",,1980
603,"GEISSLER, Ines",Women,200m butterfly,Gold,"February 16, 1963 (age 53 years)",165.1,,#VALUE!,"February 16, 1963 ",17.5506849315,1980
604,"SCHÉNROCK, Sybille",Women,200m butterfly,Silver,,,,#VALUE!,,,1980
605,"BREWER, Graeme",Men,200m freestyle,Bronze,"December 1, 1958 (age 57 years)",193.04,212,96.36363636,"December 1, 1958 ",21.7643835616,1980
606,"KOPLYAKOV, Sergei",Men,200m freestyle,Gold,"January 23, 1959 (age 57 years)",,,#VALUE!,"January 23, 1959 ",21.6191780822,1980
607,"KRYLOV, Andrei",Men,200m freestyle,Silver,"March 3, 1959 (age 57 years)",,,#VALUE!,"March 3, 1959 ",21.5123287671,1980
608,"SCHMIDT, Carmela",Women,200m freestyle,Bronze,"May 16, 1962 (age 54 years)",175.26,146,66.36363636,"May 16, 1962 ",18.3068493151,1980
609,"KRAUSE, Barbara",Women,200m freestyle,Gold,"July 7, 1959 (age 57 years)",180.34,150,68.18181818,"July 7, 1959 ",21.1671232877,1980
610,"DIERS, Ines",Women,200m freestyle,Silver,"November 2, 1963 (age 53 years)",175.26,141,64.09090909,"November 2, 1963 ",16.8410958904,1980
611,"STUKOLKIN, Ivar",Men,400m freestyle,Bronze,1960,,170,77.27272727,1960,20.6794520548,1980
612,"SALNIKOV, Vladimir",Men,400m freestyle,Gold,"May 21, 1960 (age 56 years)",180.34,163,74.09090909,"May 21, 1960 ",20.2931506849,1980
613,"KRYLOV, Andrei",Men,400m freestyle,Silver,"March 3, 1959 (age 57 years)",,,#VALUE!,"March 3, 1959 ",21.5123287671,1980
614,"SCHMIDT, Carmela",Women,400m freestyle,Bronze,"May 16, 1962 (age 54 years)",175.26,146,66.36363636,"May 16, 1962 ",18.3068493151,1980
615,"DIERS, Ines",Women,400m freestyle,Gold,"November 2, 1963 (age 53 years)",175.26,141,64.09090909,"November 2, 1963 ",16.8410958904,1980
616,"SCHNEIDER, Petra",Women,400m freestyle,Silver,"January 11, 1963 (age 53 years)",172.72,148,67.27272727,"January 11, 1963 ",17.6493150685,1980
617,"VERRASZTO, Zoltan",Men,400m individual medley,Bronze,"March 15, 1956 (age 60 years)",175.26,,#VALUE!,"March 15, 1956 ",24.4794520548,1980
618,"SIDORENKO, Aleksandr",Men,400m individual medley,Gold,"May 27, 1960 (age 56 years)",187.96,201,91.36363636,"May 27, 1960 ",20.2767123288,1980
619,"FESENKO, Sergei",Men,400m individual medley,Silver,"January 29, 1959 (age 57 years)",187.96,,#VALUE!,"January 29, 1959 ",21.602739726,1980
620,"CZOPEK, Agnieszka",Women,400m individual medley,Bronze,"January 9, 1964 (age 52 years)",,139,63.18181818,"January 9, 1964 ",16.6547945205,1980
621,"SCHNEIDER, Petra",Women,400m individual medley,Gold,"January 11, 1963 (age 53 years)",172.72,148,67.27272727,"January 11, 1963 ",17.6493150685,1980
622,"DAVIES, Sharron Elizabeth",Women,400m individual medley,Silver,"November 1, 1962 (age 54 years)",180.34,148,67.27272727,"November 1, 1962 ",17.8438356164,1980
623,"DÛHNE, Heike",Women,800m freestyle,Bronze,,,,#VALUE!,,,1980
624,"FORD, Michelle",Women,800m freestyle,Gold,"October 1, 1968 (age 48 years)",,119,54.09090909,"October 1, 1968 ",,1980
625,"DIERS, Ines",Women,800m freestyle,Silver,"November 2, 1963 (age 53 years)",175.26,141,64.09090909,"November 2, 1963 ",16.8410958904,1980
626,"WEST, Michael",Men,100m backstroke,Bronze,,,170,77.27272727,,,1984
627,"CAREY, Richard John",Men,100m backstroke,Gold,,182.88,181,82.27272727,,,1984
628,"WILSON, David Dennis",Men,100m backstroke,Silver,,,187,85,,,1984
629,"DE ROVER, Jolanda",Women,100m backstroke,Bronze,"October 10, 1963 (age 53 years)",185.42,154,70,"October 10, 1963 ",20.9068493151,1984
630,"ANDREWS, Theresa",Women,100m backstroke,Gold,"August 25, 1962 (age 54 years)",167.64,137,62.27272727,"August 25, 1962 ",22.0328767123,1984
631,"MITCHELL, Elizabeth",Women,100m backstroke,Silver,"March 27, 1970 (age 46 years)",175.26,150,68.18181818,"March 27, 1970 ",14.4410958904,1984
632,"EVANS, Peter",Men,100m breaststroke,Bronze,"January 20, 1987 (age 29 years)",180.34,170,77.27272727,"January 20, 1987 ",,1984
633,"LUNDQUIST, Steven K.",Men,100m breaststroke,Gold,"February 20, 1961 (age 55 years)",187.96,,#VALUE!,"February 20, 1961 ",23.5424657534,1984
634,"DAVIS, Victor",Men,100m breaststroke,Silver,10-Feb-64,187.96,192,87.27272727,10-Feb-64,,1984
635,"POIROT, Catherine",Women,100m breaststroke,Bronze,"April 9, 1963 (age 53 years)",,139,63.18181818,"April 9, 1963 ",21.4109589041,1984
636,"VAN STAVEREN, Petra",Women,100m breaststroke,Gold,"June 2, 1966 (age 50 years)",170.18,132,60,"June 2, 1966 ",18.2602739726,1984
637,"OTTENBRITE, Anne",Women,100m breaststroke,Silver,"May 12, 1966 (age 50 years)",175.26,132,60,"May 12, 1966 ",18.3178082192,1984
638,"BUCHANAN, Glenn",Men,100m butterfly,Bronze,"November 19, 1962 (age 53 years)",180.34,170,77.27272727,"November 19, 1962 ",21.797260274,1984
639,"GROSS, Michael",Men,100m butterfly,Gold,"June 21, 1947 (age 69 years)",190.5,,#VALUE!,"June 21, 1947 ",,1984
640,"MORALES, Pablo",Men,100m butterfly,Silver,"December 5, 1964 (age 51 years)",190.5,185,84.09090909,"December 5, 1964 ",19.7506849315,1984
641,"SEICK, Karin",Women,100m butterfly,Bronze,"November 11, 1961 (age 54 years)",182.88,139,63.18181818,"November 11, 1961 ",22.8191780822,1984
642,"MEAGHER, Mary T.",Women,100m butterfly,Gold,"October 27, 1964 (age 52 years)",172.72,141,64.09090909,"October 27, 1964 ",19.8575342466,1984
643,"JOHNSON, Jenna Leigh",Women,100m butterfly,Silver,"September 11, 1967 (age 49 years)",180.34,139,63.18181818,"September 11, 1967 ",16.9835616438,1984
644,"JOHANSSON, Per",Men,100m freestyle,Bronze,"May 6, 1978 (age 38 years)",193.04,165,75,"May 6, 1978 ",,1984
645,"GAINES, Ambrose Iv",Men,100m freestyle,Gold,"February 17, 1959 (age 57 years)",185.42,161,73.18181818,"February 17, 1959 ",25.5534246575,1984
646,"STOCKWELL, Marcus",Men,100m freestyle,Silver,,,194,88.18181818,,,1984
647,"VERSTAPPEN, Annemarie",Women,100m freestyle,Bronze,"October 3, 1965 (age 51 years)",,146,66.36363636,"October 3, 1965 ",18.9232876712,1984
648,"HOGSHEAD, Nancy Lynn",Women,100m freestyle,Gold,"April 17, 1962 (age 54 years)",172.72,146,66.36363636,"April 17, 1962 ",22.3890410959,1984
