,Year,Event,Athlete,Gender,DOB,height,DOB1,Medal,Age
432,2011,100 metre breaststroke,Cameron van der Burgh,Men,"May 25, 1988 (age 28 years)",182.88,"May 25, 1988",Bronze,23.2849315068
433,2013,100 metre breaststroke,Christian Sprenger,Men,"December 19, 1985 (age 30 years)",195.58,"December 19, 1985",Gold,
434,2013,100 metre breaststroke,Cameron van der Burgh,Men,"May 25, 1988 (age 28 years)",182.88,"May 25, 1988",Silver,25.2876712329
435,2013,100 metre breaststroke,Felipe Lima,Men,"April 5, 1985 (age 31 years)",180.34,"April 5, 1985",Bronze,
436,2015,100 metre breaststroke,Adam Peaty,Men,"December 28, 1994 (age 21 years)",190.5,"December 28, 1994",Gold,20.6904109589
437,2015,100 metre breaststroke,Cameron van der Burgh,Men,"May 25, 1988 (age 28 years)",182.88,"May 25, 1988",Silver,27.2876712329
438,2015,100 metre breaststroke,Ross Murdoch,Men,"January 14, 1994 (age 22 years)",182.88,"January 14, 1994",Bronze,21.6438356164
439,1973,200 metre breaststroke,David Wilkie,Men,"November 18, 1785",182.88,"November 18, 178",Gold,
440,1973,200 metre breaststroke,John Hencken,Men,"May 29, 1954 (age 62 years)",182.88,"May 29, 1954",Silver,19.2739726027
441,1973,200 metre breaststroke,Nobutaka Taguchi,Men,"June 18, 1951 (age 65 years)",172.72,"June 18, 1951",Bronze,22.2219178082
442,1975,200 metre breaststroke,David Wilkie,Men,"November 18, 1785",182.88,"November 18, 178",Gold,
443,1975,200 metre breaststroke,Rick Colella,Men,"December 14, 1951 (age 64 years)",185.42,"December 14, 1951",Silver,23.7315068493
444,1975,200 metre breaststroke,Nikolai Pankin,Men,"January 2, 1949 (age 67 years)",177.8,"January 2, 1949",Bronze,26.6794520548
445,1978,200 metre breaststroke,Nicholas Nevid,Men,1960,,196,Gold,
446,1978,200 metre breaststroke,Arsens Miskarovs,Men,"March 3, 1961 (age 55 years)",182.88,"March 3, 1961",Silver,17.5095890411
447,1978,200 metre breaststroke,Walter Kusch,Men,"May 31, 1954 (age 62 years)",,"May 31, 1954",Bronze,24.2712328767
448,1982,200 metre breaststroke,Victor Davis,Men,"February 10, 1964",187.96,"February 10, 196",Gold,
449,1982,200 metre breaststroke,Robertas ulpa,Men,,,N,Silver,
450,1982,200 metre breaststroke,John Moffett,Men,"October 28, 1986 (age 30 years)",193.04,"October 28, 1986",Bronze,
451,1986,200 metre breaststroke,Jzsef Szab,Men,"January 31, 1956 (age 60 years)",185.42,"January 31, 1956",Gold,
452,1986,200 metre breaststroke,Victor Davis,Men,"February 10, 1964",187.96,"February 10, 196",Silver,
453,1986,200 metre breaststroke,Steven Bentley,Men,,,N,Bronze,
454,1991,200 metre breaststroke,Mike Barrowman,Men,"December 4, 1968 (age 47 years)",180.34,"December 4, 1968",Gold,22.7561643836
455,1991,200 metre breaststroke,Norbert Rzsa,Men,"February 9, 1972 (age 44 years)",185.42,"February 9, 1972",Silver,19.5726027397
456,1991,200 metre breaststroke,Nicholas Gillingham,Men,"January 22, 1967 (age 49 years)",182.88,"January 22, 1967",Bronze,24.6246575342
457,1994,200 metre breaststroke,Norbert Rzsa,Men,"February 9, 1972 (age 44 years)",185.42,"February 9, 1972",Gold,22.5753424658
458,1994,200 metre breaststroke,Eric Wunderlich,Men,"May 22, 1970 (age 46 years)",190.5,"May 22, 1970",Silver,24.295890411
459,1994,200 metre breaststroke,Kroly Gttler,Men,"June 15, 1968 (age 48 years)",187.96,"June 15, 1968",Bronze,26.2301369863
460,1998,200 metre breaststroke,Kurt Grote,Men,"August 3, 1973 (age 43 years)",187.96,"August 3, 1973",Gold,25.095890411
461,1998,200 metre breaststroke,Jean-Christophe Sarnin,Men,"April 2, 1976 (age 40 years)",185.42,"April 2, 1976",Silver,22.4301369863
462,1998,200 metre breaststroke,Norbert Rzsa,Men,"February 9, 1972 (age 44 years)",185.42,"February 9, 1972",Bronze,26.5780821918
463,2001,200 metre breaststroke,Brendan Hansen,Men,"August 15, 1981 (age 35 years)",182.88,"August 15, 1981",Gold,20.0602739726
464,2001,200 metre breaststroke,Maxim Podoprigora,Men,"April 18, 1978 (age 38 years)",185.42,"April 18, 1978",Silver,23.3890410959
465,2001,200 metre breaststroke,Kosuke Kitajima,Men,,177.8,N,Bronze,
466,2003,200 metre breaststroke,Kosuke Kitajima,Men,,177.8,N,Gold,
467,2003,200 metre breaststroke,Ian Edmond,Men,"June 2, 1978 (age 38 years)",190.5,"June 2, 1978",Silver,25.2657534247
468,2003,200 metre breaststroke,Brendan Hansen,Men,"August 15, 1981 (age 35 years)",182.88,"August 15, 1981",Bronze,22.0602739726
469,2005,200 metre breaststroke,Brendan Hansen,Men,"August 15, 1981 (age 35 years)",182.88,"August 15, 1981",Gold,24.0630136986
470,2005,200 metre breaststroke,Mike Brown,Men,"March 5, 1970 (age 46 years)",182.88,"March 5, 1970",Silver,
471,2005,200 metre breaststroke,Genki Imamura,Men,"March 17, 1982 (age 34 years)",172.72,"March 17, 1982",Bronze,23.4767123288
472,2007,200 metre breaststroke,Kosuke Kitajima,Men,,177.8,N,Gold,
473,2007,200 metre breaststroke,Brenton Rickard,Men,"October 19, 1983 (age 33 years)",193.04,"October 19, 1983",Silver,23.8849315068
474,2007,200 metre breaststroke,Loris Facci,Men,"August 13, 1983 (age 33 years)",185.42,"August 13, 1983",Bronze,24.0684931507
475,2009,200 metre breaststroke,Dniel Gyurta,Men,"May 4, 1989 (age 27 years)",185.42,"May 4, 1989",Gold,20.3424657534
476,2009,200 metre breaststroke,Eric Shanteau,Men,"October 1, 1983 (age 33 years)",187.96,"October 1, 1983",Silver,25.9369863014
477,2009,200 metre breaststroke,Christian Sprenger,Men,"December 19, 1985 (age 30 years)",195.58,"December 19, 1985",Bronze,23.7178082192
478,2011,200 metre breaststroke,Dniel Gyurta,Men,"May 4, 1989 (age 27 years)",185.42,"May 4, 1989",Gold,22.3424657534
479,2011,200 metre breaststroke,Kosuke Kitajima,Men,,177.8,N,Silver,
480,2011,200 metre breaststroke,Christian vom Lehn,Men,"April 14, 1992 (age 24 years)",190.5,"April 14, 1992",Bronze,19.3945205479
481,2013,200 metre breaststroke,Dniel Gyurta,Men,"May 4, 1989 (age 27 years)",185.42,"May 4, 1989",Gold,24.3452054795
482,2013,200 metre breaststroke,Marco Koch,Men,"January 25, 1990 (age 26 years)",185.42,"January 25, 1990",Silver,23.6164383562
483,2013,200 metre breaststroke,Matti Mattsson,Men,"October 5, 1993 (age 23 years)",198.12,"October 5, 1993",Bronze,19.9205479452
484,2015,200 metre breaststroke,Marco Koch,Men,"January 25, 1990 (age 26 years)",185.42,"January 25, 1990",Gold,25.6164383562
485,2015,200 metre breaststroke,Kevin Cordes,Men,"August 13, 1993 (age 23 years)",195.58,"August 13, 1993",Silver,22.0657534247
486,2015,200 metre breaststroke,Dniel Gyurta,Men,"May 4, 1989 (age 27 years)",185.42,"May 4, 1989",Bronze,26.3452054795
487,2001,50 metre butterfly,Geoff Huegill,Men,"June 12, 1977 (age 39 years)",190.5,"June 12, 1977",Gold,24.2383561644
488,2001,50 metre butterfly,Lars Frlander,Men,"May 26, 1974 (age 42 years)",182.88,"May 26, 1974",Silver,27.2876712329
489,2001,50 metre butterfly,Mark Foster,Men,"May 12, 1970 (age 46 years)",198.12,"May 12, 1970",Bronze,
490,2003,50 metre butterfly,Matt Welsh,Men,"November 18, 1976 (age 40 years)",187.96,"November 18, 1976",Gold,26.802739726
491,2003,50 metre butterfly,Ian Crocker,Men,"August 31, 1982 (age 34 years)",193.04,"August 31, 1982",Silver,21.0164383562
492,2003,50 metre butterfly,Yevgeny Korotyshkin,Men,"April 30, 1983 (age 33 years)",185.42,"April 30, 1983",Bronze,20.3534246575
493,2005,50 metre butterfly,Roland Schoeman,Men,"July 3, 1980 (age 36 years)",190.5,"July 3, 1980",Gold,25.1808219178
494,2005,50 metre butterfly,Ian Crocker,Men,"August 31, 1982 (age 34 years)",193.04,"August 31, 1982",Silver,23.0191780822
495,2005,50 metre butterfly,Sergiy Breus,Men,"January 30, 1983 (age 33 years)",193.04,"January 30, 1983",Bronze,22.602739726
496,2007,50 metre butterfly,Roland Schoeman,Men,"July 3, 1980 (age 36 years)",190.5,"July 3, 1980",Gold,27.1808219178
497,2007,50 metre butterfly,Ian Crocker,Men,"August 31, 1982 (age 34 years)",193.04,"August 31, 1982",Silver,25.0191780822
498,2007,50 metre butterfly,Jakob Andkjr,Men,"May 7, 1985 (age 31 years)",200.66,"May 7, 1985",Bronze,22.3342465753
499,2009,50 metre butterfly,Milorad avi,Men,,,N,Gold,
500,2009,50 metre butterfly,Matt Targett,Men,"September 18, 1995 (age 21 years)",182.88,"September 18, 1995",Silver,
501,2009,50 metre butterfly,Rafael Muoz,Men,,190.5,N,Bronze,
502,2011,50 metre butterfly,Csar Cielo,Men,"January 10, 1987 (age 29 years)",195.58,"January 10, 1987",Gold,24.6575342466
503,2011,50 metre butterfly,Matt Targett,Men,"September 18, 1995 (age 21 years)",182.88,"September 18, 1995",Silver,15.9643835616
504,2011,50 metre butterfly,Geoff Huegill,Men,"June 12, 1977 (age 39 years)",190.5,"June 12, 1977",Bronze,
505,2013,50 metre butterfly,Csar Cielo,Men,"January 10, 1987 (age 29 years)",195.58,"January 10, 1987",Gold,26.6602739726
506,2013,50 metre butterfly,Eugene Godsoe,Men,"January 20, 1988 (age 28 years)",185.42,"January 20, 1988",Silver,25.6328767123
507,2013,50 metre butterfly,Frdrick Bousquet,Men,"April 8, 1981 (age 35 years)",187.96,"April 8, 1981",Bronze,
508,2015,50 metre butterfly,Florent Manaudou,Men,"November 12, 1990 (age 26 years)",198.12,"November 12, 1990",Gold,24.8191780822
509,2015,50 metre butterfly,Nicholas Santos,Men,"February 14, 1980 (age 36 years)",190.5,"February 14, 1980",Silver,
510,2015,50 metre butterfly,Lszl Cseh(HUN) Konrad Czerniak,Men,,,N,Bronze,
511,1973,100 metre butterfly,Bruce Robertson,Men,"April 27, 1953 (age 63 years)",182.88,"April 27, 1953",Gold,20.3616438356
512,1973,100 metre butterfly,Joe Bottom,Men,"April 18, 1955 (age 61 years)",195.58,"April 18, 1955",Silver,18.3863013699
513,1973,100 metre butterfly,Robin Backhaus,Men,"June 15, 1989 (age 27 years)",182.88,"June 15, 1989",Bronze,
514,1975,100 metre butterfly,Gregory Jagenburg,Men,1957,,195,Gold,
515,1975,100 metre butterfly,Roger Pyttel,Men,"May 8, 1957 (age 59 years)",175.26,"May 8, 1957",Silver,18.3287671233
516,1975,100 metre butterfly,Bill Forrester,Men,"December 18, 1957 (age 58 years)",180.34,"December 18, 1957",Bronze,17.7150684932
517,1978,100 metre butterfly,Joe Bottom,Men,"April 18, 1955 (age 61 years)",195.58,"April 18, 1955",Gold,23.3890410959
518,1978,100 metre butterfly,Gregory Jagenburg,Men,1957,,195,Silver,
519,1978,100 metre butterfly,Pr Arvidsson,Men,"February 27, 1960 (age 56 years)",,"February 27, 1960",Bronze,18.5232876712
520,1982,100 metre butterfly,Matt Gribble,Men,"March 28, 1962",180.34,"March 28, 196",Gold,
521,1982,100 metre butterfly,Michael Gross,Men,"June 21, 1947 (age 69 years)",190.5,"June 21, 1947",Silver,
522,1982,100 metre butterfly,Bengt Baron,Men,"March 6, 1962 (age 54 years)",,"March 6, 1962",Bronze,20.504109589
523,1986,100 metre butterfly,Pablo Morales,Men,"December 5, 1964 (age 51 years)",190.5,"December 5, 1964",Gold,21.7534246575
524,1986,100 metre butterfly,Matt Biondi,Men,"October 8, 1965 (age 51 years)",200.66,"October 8, 1965",Silver,20.9123287671
525,1986,100 metre butterfly,Andrew Jameson,Men,"February 19, 1965 (age 51 years)",190.5,"February 19, 1965",Bronze,21.5452054795
526,1991,100 metre butterfly,Anthony Nesty,Men,"November 25, 1967 (age 49 years)",180.34,"November 25, 1967",Gold,23.7835616438
527,1991,100 metre butterfly,Michael Gross,Men,"June 21, 1947 (age 69 years)",190.5,"June 21, 1947",Silver,
528,1991,100 metre butterfly,Vladislav Kulikov,Men,"January 7, 1971 (age 45 years)",190.5,"January 7, 1971",Bronze,20.6630136986
529,1994,100 metre butterfly,Rafa Szukaa,Men,,182.88,N,Gold,
530,1994,100 metre butterfly,Lars Frlander,Men,"May 26, 1974 (age 42 years)",182.88,"May 26, 1974",Silver,20.2821917808
531,1994,100 metre butterfly,Denis Pankratov,Men,"July 4, 1974 (age 42 years)",187.96,"July 4, 1974",Bronze,20.1753424658
532,1998,100 metre butterfly,Michael Klim,Men,"August 13, 1977 (age 39 years)",190.5,"August 13, 1977",Gold,21.0657534247
533,1998,100 metre butterfly,Lars Frlander,Men,"May 26, 1974 (age 42 years)",182.88,"May 26, 1974",Silver,24.2849315068
534,1998,100 metre butterfly,Geoff Huegill,Men,"June 12, 1977 (age 39 years)",190.5,"June 12, 1977",Bronze,21.2356164384
535,2001,100 metre butterfly,Lars Frlander,Men,"May 26, 1974 (age 42 years)",182.88,"May 26, 1974",Gold,27.2876712329
536,2001,100 metre butterfly,Ian Crocker,Men,"August 31, 1982 (age 34 years)",193.04,"August 31, 1982",Silver,19.0164383562
537,2001,100 metre butterfly,Geoff Huegill,Men,"June 12, 1977 (age 39 years)",190.5,"June 12, 1977",Bronze,24.2383561644
538,2003,100 metre butterfly,Ian Crocker,Men,"August 31, 1982 (age 34 years)",193.04,"August 31, 1982",Gold,21.0164383562
539,2003,100 metre butterfly,Michael Phelps,Men,"June 30, 1985 (age 31 years)",193.04,"June 30, 1985",Silver,18.1835616438
540,2003,100 metre butterfly,Andriy Serdinov,Men,"November 17, 1982 (age 34 years)",,"November 17, 1982",Bronze,20.802739726
541,2005,100 metre butterfly,Ian Crocker,Men,"August 31, 1982 (age 34 years)",193.04,"August 31, 1982",Gold,23.0191780822
542,2005,100 metre butterfly,Michael Phelps,Men,"June 30, 1985 (age 31 years)",193.04,"June 30, 1985",Silver,20.1863013699
543,2005,100 metre butterfly,Andriy Serdinov,Men,"November 17, 1982 (age 34 years)",,"November 17, 1982",Bronze,22.8054794521
544,2007,100 metre butterfly,Michael Phelps,Men,"June 30, 1985 (age 31 years)",193.04,"June 30, 1985",Gold,22.1863013699
545,2007,100 metre butterfly,Ian Crocker,Men,"August 31, 1982 (age 34 years)",193.04,"August 31, 1982",Silver,25.0191780822
546,2007,100 metre butterfly,Albert Subirats,Men,"September 25, 1986 (age 30 years)",193.04,"September 25, 1986",Bronze,20.9479452055
547,2009,100 metre butterfly,Michael Phelps,Men,"June 30, 1985 (age 31 years)",193.04,"June 30, 1985",Gold,24.1890410959
548,2009,100 metre butterfly,Milorad avi,Men,,,N,Silver,
549,2009,100 metre butterfly,Rafael Muoz,Men,,190.5,N,Bronze,
550,2011,100 metre butterfly,Michael Phelps,Men,"June 30, 1985 (age 31 years)",193.04,"June 30, 1985",Gold,26.1890410959
551,2011,100 metre butterfly,Konrad Czerniak,Men,"July 11, 1989 (age 27 years)",195.58,"July 11, 1989",Silver,22.1561643836
552,2011,100 metre butterfly,Tyler McGill,Men,"August 18, 1987 (age 29 years)",180.34,"August 18, 1987",Bronze,24.0547945205
553,2013,100 metre butterfly,Chad le Clos,Men,"April 12, 1992 (age 24 years)",185.42,"April 12, 1992",Gold,21.402739726
554,2013,100 metre butterfly,Lszl Cseh,Men,"December 3, 1985 (age 30 years)",187.96,"December 3, 1985",Silver,
555,2013,100 metre butterfly,Konrad Czerniak,Men,"July 11, 1989 (age 27 years)",195.58,"July 11, 1989",Bronze,24.1589041096
556,2015,100 metre butterfly,Chad le Clos,Men,"April 12, 1992 (age 24 years)",185.42,"April 12, 1992",Gold,23.402739726
557,2015,100 metre butterfly,Lszl Cseh,Men,"December 3, 1985 (age 30 years)",187.96,"December 3, 1985",Silver,
558,2015,100 metre butterfly,Joseph Schooling,Men,"June 16, 1995 (age 21 years)",182.88,"June 16, 1995",Bronze,20.2246575342
559,1973,200 metre butterfly,Robin Backhaus,Men,"June 15, 1989 (age 27 years)",182.88,"June 15, 1989",Gold,
560,1973,200 metre butterfly,Steve Gregg,Men,"November 3, 1955 (age 61 years)",193.04,"November 3, 1955",Silver,17.8410958904
561,1973,200 metre butterfly,Hartmut Flckner,Men,,,N,Bronze,
562,1975,200 metre butterfly,Bill Forrester,Men,"December 18, 1957 (age 58 years)",180.34,"December 18, 1957",Gold,17.7150684932
563,1975,200 metre butterfly,Roger Pyttel,Men,"May 8, 1957 (age 59 years)",175.26,"May 8, 1957",Silver,18.3287671233
564,1975,200 metre butterfly,Brian Brinkley,Men,"December 28, 1953 (age 62 years)",190.5,"December 28, 1953",Bronze,21.6904109589
565,1978,200 metre butterfly,Mike Bruner,Men,"August 1, 1972 (age 44 years)",177.8,"August 1, 1972",Gold,
566,1978,200 metre butterfly,Steve Gregg,Men,"November 3, 1955 (age 61 years)",193.04,"November 3, 1955",Silver,22.8438356164
567,1978,200 metre butterfly,Roger Pyttel,Men,"May 8, 1957 (age 59 years)",175.26,"May 8, 1957",Bronze,21.3315068493
568,1982,200 metre butterfly,Michael Gross,Men,"June 21, 1947 (age 69 years)",190.5,"June 21, 1947",Gold,
569,1982,200 metre butterfly,Sergey Fesenko,Men,"January 29, 1959 (age 57 years)",187.96,"January 29, 1959",Silver,23.6054794521
570,1982,200 metre butterfly,Craig Beardsley,Men,1960,,196,Bronze,
571,1986,200 metre butterfly,Michael Gross,Men,"June 21, 1947 (age 69 years)",190.5,"June 21, 1947",Gold,
572,1986,200 metre butterfly,Anthony Mosse,Men,"October 29, 1964 (age 52 years)",182.88,"October 29, 1964",Silver,21.8547945205
573,1986,200 metre butterfly,Benny Nielsen,Men,"March 17, 1951 (age 65 years)",175.26,"March 17, 1951",Bronze,
574,1991,200 metre butterfly,Melvin Stewart,Men,"September 19, 1929",187.96,"September 19, 192",Gold,
575,1991,200 metre butterfly,Michael Gross,Men,"June 21, 1947 (age 69 years)",190.5,"June 21, 1947",Silver,
576,1991,200 metre butterfly,Tams Darnyi,Men,"June 3, 1967 (age 49 years)",185.42,"June 3, 1967",Bronze,24.2630136986
577,1994,200 metre butterfly,Denis Pankratov,Men,"July 4, 1974 (age 42 years)",187.96,"July 4, 1974",Gold,20.1753424658
578,1994,200 metre butterfly,Danyon Loader,Men,"April 21, 1975 (age 41 years)",187.96,"April 21, 1975",Silver,19.3780821918
579,1994,200 metre butterfly,Chris-Carol Bremer,Men,"January 5, 1971 (age 45 years)",182.88,"January 5, 1971",Bronze,23.6712328767
580,1998,200 metre butterfly,Denys Sylantyev,Men,"October 3, 1976 (age 40 years)",185.42,"October 3, 1976",Gold,21.9260273973
581,1998,200 metre butterfly,Franck Esposito,Men,,,N,Silver,
582,1998,200 metre butterfly,Tom Malchow,Men,"August 18, 1976 (age 40 years)",198.12,"August 18, 1976",Bronze,22.0520547945
583,2001,200 metre butterfly,Michael Phelps,Men,"June 30, 1985 (age 31 years)",193.04,"June 30, 1985",Gold,16.1835616438
584,2001,200 metre butterfly,Tom Malchow,Men,"August 18, 1976 (age 40 years)",198.12,"August 18, 1976",Silver,25.0547945205
585,2001,200 metre butterfly,Anatoly Polyakov,Men,"May 10, 1980 (age 36 years)",,"May 10, 1980",Bronze,21.3260273973
586,2003,200 metre butterfly,Michael Phelps,Men,"June 30, 1985 (age 31 years)",193.04,"June 30, 1985",Gold,18.1835616438
587,2003,200 metre butterfly,Takashi Yamamoto,Men,,,N,Silver,
588,2003,200 metre butterfly,Tom Malchow,Men,"August 18, 1976 (age 40 years)",198.12,"August 18, 1976",Bronze,27.0547945205
589,2005,200 metre butterfly,Pawe Korzeniowski,Men,"July 9, 1985 (age 31 years)",193.04,"July 9, 1985",Gold,20.1616438356
590,2005,200 metre butterfly,Takeshi Matsuda,Men,"June 23, 1984 (age 32 years)",182.88,"June 23, 1984",Silver,21.2054794521
591,2005,200 metre butterfly,Wu Peng,Men,"May 16, 1987 (age 29 years)",185.42,"May 16, 1987",Bronze,18.3095890411
592,2007,200 metre butterfly,Michael Phelps,Men,"June 30, 1985 (age 31 years)",193.04,"June 30, 1985",Gold,22.1863013699
593,2007,200 metre butterfly,Wu Peng,Men,"May 16, 1987 (age 29 years)",185.42,"May 16, 1987",Silver,20.3095890411
594,2007,200 metre butterfly,Nikolay Skvortsov,Men,"March 28, 1984 (age 32 years)",180.34,"March 28, 1984",Bronze,23.4438356164
595,2009,200 metre butterfly,Michael Phelps,Men,"June 30, 1985 (age 31 years)",193.04,"June 30, 1985",Gold,24.1890410959
596,2009,200 metre butterfly,Pawe Korzeniowski,Men,"July 9, 1985 (age 31 years)",193.04,"July 9, 1985",Silver,24.1643835616
597,2009,200 metre butterfly,Takeshi Matsuda,Men,"June 23, 1984 (age 32 years)",182.88,"June 23, 1984",Bronze,25.2082191781
598,2011,200 metre butterfly,Michael Phelps,Men,"June 30, 1985 (age 31 years)",193.04,"June 30, 1985",Gold,26.1890410959
599,2011,200 metre butterfly,Takeshi Matsuda,Men,"June 23, 1984 (age 32 years)",182.88,"June 23, 1984",Silver,27.2082191781
600,2011,200 metre butterfly,Wu Peng,Men,"May 16, 1987 (age 29 years)",185.42,"May 16, 1987",Bronze,24.3123287671
601,2013,200 metre butterfly,Chad le Clos,Men,"April 12, 1992 (age 24 years)",185.42,"April 12, 1992",Gold,21.402739726
602,2013,200 metre butterfly,Pawe Korzeniowski,Men,"July 9, 1985 (age 31 years)",193.04,"July 9, 1985",Silver,
603,2013,200 metre butterfly,Wu Peng,Men,"May 16, 1987 (age 29 years)",185.42,"May 16, 1987",Bronze,26.3150684932
604,2015,200 metre butterfly,Lszl Cseh,Men,"December 3, 1985 (age 30 years)",187.96,"December 3, 1985",Gold,
605,2015,200 metre butterfly,Chad le Clos,Men,"April 12, 1992 (age 24 years)",185.42,"April 12, 1992",Silver,23.402739726
606,2015,200 metre butterfly,Jan witkowski,Men,,,N,Bronze,
607,1973,200 metre individual medley,Gunnar Larsson,Men,"May 12, 1951 (age 65 years)",185.42,"May 12, 1951",Gold,22.3232876712
608,1973,200 metre individual medley,Stanley Carper,Men,,,N,Silver,
609,1973,200 metre individual medley,David Wilkie,Men,"November 18, 1785",182.88,"November 18, 178",Bronze,
610,1975,200 metre individual medley,Andrs Hargitay,Men,,,N,Gold,
611,1975,200 metre individual medley,Steve Furniss,Men,"December 21, 1952 (age 63 years)",193.04,"December 21, 1952",Silver,22.7095890411
612,1975,200 metre individual medley,Andrey Smirnov,Men,"March 12, 1941 (age 75 years)",,"March 12, 1941",Bronze,
613,1978,200 metre individual medley,Graham Smith,Men,,190.5,N,Gold,
614,1978,200 metre individual medley,Jesse Vassallo,Men,"August 9, 1961 (age 55 years)",175.26,"August 9, 1961",Silver,17.0739726027
615,1978,200 metre individual medley,Aleksandr Sidorenko,Men,"May 27, 1960 (age 56 years)",187.96,"May 27, 1960",Bronze,18.2767123288
616,1982,200 metre individual medley,Aleksandr Sidorenko,Men,"May 27, 1960 (age 56 years)",187.96,"May 27, 1960",Gold,22.2794520548
617,1982,200 metre individual medley,Bill Barrett,Men,"February 9, 1929",,"February 9, 192",Silver,
618,1982,200 metre individual medley,Giovanni Franceschi,Men,"April 25, 1963 (age 53 years)",193.04,"April 25, 1963",Bronze,19.3671232877
619,1986,200 metre individual medley,Tams Darnyi,Men,"June 3, 1967 (age 49 years)",,"June 3, 1967",Gold,19.2602739726
620,1986,200 metre individual medley,Alex Baumann,Men,"April 21, 1964 (age 52 years)",187.96,"April 21, 1964",Silver,22.3780821918
621,1986,200 metre individual medley,Vadim Yaroshchuk,Men,"April 2, 1966 (age 50 years)",,"April 2, 1966",Bronze,20.4301369863
622,1991,200 metre individual medley,Tams Darnyi,Men,"June 3, 1967 (age 49 years)",,"June 3, 1967",Gold,24.2630136986
623,1991,200 metre individual medley,Eric Namesnik,Men,"August 7, 1970",185.42,"August 7, 197",Silver,
624,1991,200 metre individual medley,Christian Gessner,Men,"June 16, 1968 (age 48 years)",193.04,"June 16, 1968",Bronze,23.2246575342
625,1994,200 metre individual medley,Jani Sievinen,Men,"March 31, 1974 (age 42 years)",180.34,"March 31, 1974",Gold,20.4356164384
626,1994,200 metre individual medley,Greg Burgess,Men,1945,193.04,194,Silver,
627,1994,200 metre individual medley,Attila Czene,Men,"June 20, 1974 (age 42 years)",185.42,"June 20, 1974",Bronze,20.2136986301
628,1998,200 metre individual medley,Marcel Wouda,Men,"January 23, 1972 (age 44 years)",203.2,"January 23, 1972",Gold,26.6246575342
629,1998,200 metre individual medley,Xavier Marchand,Men,"August 4, 1973 (age 43 years)",,"August 4, 1973",Silver,25.0931506849
630,1998,200 metre individual medley,Ron Karnaugh,Men,"July 19, 1966 (age 50 years)",195.58,"July 19, 1966",Bronze,
631,2001,200 metre individual medley,Massimiliano Rosolino,Men,"July 11, 1978 (age 38 years)",193.04,"July 11, 1978",Gold,23.1589041096
632,2001,200 metre individual medley,Tom Wilkens,Men,"November 25, 1975 (age 41 years)",187.96,"November 25, 1975",Silver,25.7863013699
633,2001,200 metre individual medley,Justin Norris,Men,"June 3, 1980 (age 36 years)",185.42,"June 3, 1980",Bronze,21.2602739726
634,2003,200 metre individual medley,Michael Phelps,Men,"June 30, 1985 (age 31 years)",193.04,"June 30, 1985",Gold,18.1835616438
635,2003,200 metre individual medley,Ian Thorpe,Men,"October 13, 1982 (age 34 years)",195.58,"October 13, 1982",Silver,20.898630137
636,2003,200 metre individual medley,Massimiliano Rosolino,Men,"July 11, 1978 (age 38 years)",193.04,"July 11, 1978",Bronze,25.1589041096
637,2005,200 metre individual medley,Michael Phelps,Men,"June 30, 1985 (age 31 years)",193.04,"June 30, 1985",Gold,20.1863013699
638,2005,200 metre individual medley,Lszl Cseh,Men,"December 3, 1985 (age 30 years)",187.96,"December 3, 1985",Silver,19.7589041096
639,2005,200 metre individual medley,Ryan Lochte,Men,"August 3, 1984 (age 32 years)",187.96,"August 3, 1984",Bronze,21.0931506849
640,2007,200 metre individual medley,Michael Phelps,Men,"June 30, 1985 (age 31 years)",193.04,"June 30, 1985",Gold,22.1863013699
641,2007,200 metre individual medley,Ryan Lochte,Men,"August 3, 1984 (age 32 years)",187.96,"August 3, 1984",Silver,23.0931506849
642,2007,200 metre individual medley,Lszl Cseh,Men,"December 3, 1985 (age 30 years)",187.96,"December 3, 1985",Bronze,21.7589041096
643,2009,200 metre individual medley,Ryan Lochte,Men,"August 3, 1984 (age 32 years)",187.96,"August 3, 1984",Gold,25.095890411
644,2009,200 metre individual medley,Lszl Cseh,Men,"December 3, 1985 (age 30 years)",187.96,"December 3, 1985",Silver,23.7616438356
645,2009,200 metre individual medley,Eric Shanteau,Men,"October 1, 1983 (age 33 years)",187.96,"October 1, 1983",Bronze,25.9369863014
646,2011,200 metre individual medley,Ryan Lochte,Men,"August 3, 1984 (age 32 years)",187.96,"August 3, 1984",Gold,27.095890411
647,2011,200 metre individual medley,Michael Phelps,Men,"June 30, 1985 (age 31 years)",193.04,"June 30, 1985",Silver,26.1890410959
648,2011,200 metre individual medley,Lszl Cseh,Men,"December 3, 1985 (age 30 years)",187.96,"December 3, 1985",Bronze,25.7616438356
649,2013,200 metre individual medley,Ryan Lochte,Men,"August 3, 1984 (age 32 years)",187.96,"August 3, 1984",Gold,
650,2013,200 metre individual medley,Kosuke Hagino,Men,"August 15, 1994 (age 22 years)",177.8,"August 15, 1994",Silver,19.0602739726
651,2013,200 metre individual medley,Thiago Pereira,Men,"January 26, 1986 (age 30 years)",187.96,"January 26, 1986",Bronze,
652,2015,200 metre individual medley,Ryan Lochte,Men,"August 3, 1984 (age 32 years)",187.96,"August 3, 1984",Gold,
653,2015,200 metre individual medley,Thiago Pereira,Men,"January 26, 1986 (age 30 years)",187.96,"January 26, 1986",Silver,
